replication,country_balance,physical_balance,scale_gap,direction_reversal
418,-0.4147368421,-0.5564298501,0.1416930079,False
419,-0.2715789474,-0.3096272031,0.03804825577,False
420,-0.2884210526,-0.4197654619,0.1313444093,False
421,-0.3557894737,-0.7037634824,0.3479740087,False
422,-0.1789473684,-0.4117404406,0.2327930722,False
423,-0.3515789474,-0.5450478329,0.1934688856,False
424,-0.12,-0.1285750492,0.00857504924,False
425,-0.2336842105,-0.675868227,0.4421840165,False
426,-0.1915789474,-0.1299233273,-0.06165562003,False
427,-0.2631578947,-0.4455257368,0.182367842,False
428,-0.3010526316,-0.5271219085,0.2260692769,False
429,-0.1747368421,-0.1238002158,-0.05093662629,False
430,-0.3431578947,-0.4658929868,0.122735092,False
431,-0.2336842105,-0.4104003488,0.1767161382,False
432,-0.2378947368,-0.3632506163,0.1253558794,False
433,-0.2168421053,-0.6462543267,0.4294122215,False
434,-0.2589473684,-0.3849766005,0.1260292321,False
435,-0.2210526316,-0.09993288216,-0.1211197494,False
436,-0.1705263158,-0.4580784826,0.2875521668,False
437,-0.3263157895,-0.6475724219,0.3212566324,False
438,-0.2294736842,-0.5152728203,0.2857991361,False
439,-0.3178947368,-0.509474075,0.1915793382,False
440,-0.1242105263,-0.4932619734,0.3690514471,False
441,-0.2757894737,-0.374077374,0.09828790034,False
442,-0.2505263158,-0.1925717975,-0.05795451829,False
443,-0.2631578947,-0.2456906042,-0.0174672905,False
444,-0.1494736842,-0.7023652128,0.5528915286,False
445,-0.3557894737,-0.6658514208,0.3100619471,False
446,-0.3263157895,-0.7784008151,0.4520850256,False
447,-0.1578947368,-0.159638409,0.001743672158,False
448,-0.2631578947,-0.6481705112,0.3850126164,False
449,-0.1747368421,-0.1164131135,-0.05832372858,False
450,-0.3642105263,-0.6814605327,0.3172500064,False
451,-0.2757894737,-0.7083998023,0.4326103286,False
452,-0.3178947368,-0.6179590204,0.3000642835,False
453,-0.2126315789,-0.7928713333,0.5802397543,False
454,-0.2,-0.2381809555,0.03818095547,False
455,-0.3094736842,-0.6280292477,0.3185555635,False
456,-0.3515789474,-0.7917759363,0.4401969889,False
457,-0.3431578947,-0.538342963,0.1951850683,False
458,-0.2968421053,-0.5005669846,0.2037248793,False
459,-0.4821052632,-0.7365151039,0.2544098407,False
460,-0.1284210526,-0.05819012671,-0.07023092593,False
461,-0.1242105263,-0.08620029761,-0.03801022871,False
462,-0.3431578947,-0.5484441529,0.2052862582,False
463,-0.2210526316,-0.6474508161,0.4263981846,False
464,-0.1915789474,-0.2637824434,0.07220349604,False
465,-0.4357894737,-0.7689497217,0.333160248,False
466,-0.2926315789,-0.5149822356,0.2223506567,False
467,-0.3431578947,-0.2813265199,-0.06183137486,False
468,-0.2926315789,-0.1433971512,-0.1492344278,False
469,-0.3094736842,-0.6101179584,0.3006442741,False
470,-0.2884210526,-0.6577576051,0.3693365525,False
471,-0.2294736842,-0.6498189406,0.4203452563,False
472,-0.2252631579,-0.4795570545,0.2542938966,False
473,-0.2842105263,-0.3312983059,0.04708777955,False
474,-0.2463157895,-0.4595073027,0.2131915132,False
475,-0.3810526316,-0.7737405245,0.3926878929,False
476,-0.3347368421,-0.3356986696,0.0009618274697,False
477,-0.2252631579,-0.5917163722,0.3664532143,False
478,-0.2210526316,-0.2007332625,-0.02031936909,False
479,-0.1284210526,-0.4419222309,0.3135011783,False
480,-0.1705263158,-0.5465377477,0.3760114319,False
481,-0.1073684211,-0.1987251537,0.09135673262,False
482,-0.2126315789,-0.1919278128,-0.0207037661,False
483,-0.3557894737,-0.8019004539,0.4461109802,False
484,-0.2294736842,-0.4404196649,0.2109459807,False
485,-0.2294736842,-0.05044448424,-0.1790292,False
486,-0.2421052632,-0.2172187416,-0.02488652157,False
